company_name,ticker,start_date,end_date,book_value,book_to_share_value,earnings_per_share,debt_ratio,current_ratio,start_open,start_close,start_high,end_open,end_close,end_high
camden national corp,CAC,2023-10-01,2023-12-31,495064000.0,-471040.9134157945,-8063.748810656518,0.9133671396967646,1.0948499858797167,28.26,28.05,28.22,38.395,37.55,37.63
camden national corp,CAC,2023-07-01,2023-09-30,463298000.0,31.82853708253547,0.6717478503965737,0.9198401294190417,1.0871454375790128,31.72,30.91,30.97,28.26,28.05,28.22
camden national corp,CAC,2023-04-01,2023-06-30,467376000.0,32.09056237719099,0.8494754495964855,0.9186313345337888,-12.289743161822601,35.58,35.23,36.19,31.35,31.02,31.58
camden national corp,CAC,2023-01-01,2023-03-31,464874000.0,31.899410435183345,0.8716045882275603,0.9186800557323797,-12.297106312678274,41.76,41.57,41.69,36.89,35.02,35.43
camden national corp,CAC,2022-10-01,2022-12-31,451278000.0,-17171.91780821918,-582.572298325723,0.9204354840131527,1.08644225192182,43.67,42.55,42.6,41.76,41.57,41.69
camden national corp,CAC,2022-07-01,2022-09-30,431007000.0,29.481731883393778,0.9732233611911795,0.922365196828949,1.0841692677021597,43.09,43.02,44.05,43.66,43.2,43.39
camden national corp,CAC,2022-04-01,2022-06-30,446381000.0,30.465843530622855,1.0228059239750664,0.9183423897136301,-12.246256001039471,47.72,46.91,47.04,44.2,43.38,43.52
camden national corp,CAC,2022-01-01,2022-03-31,482446000.0,32.72757145567706,1.136401332015401,0.910994637864444,-11.235278145118832,48.02,47.93,48.16,49.05,47.37,47.71
camden national corp,CAC,2021-10-01,2021-12-31,541294000.0,-20401.55284185135,-619.8552691090005,0.9015892789484898,1.1091524969843087,48.88,47.81,47.9,48.79,48.12,48.16
camden national corp,CAC,2021-07-01,2021-09-30,545984000.0,36.56700503969712,0.9778276901513195,0.9007825325619101,1.1101458607949537,47.46,47.2,47.76,46.94,46.94,48.59
camden national corp,CAC,2021-04-01,2021-06-30,545548000.0,36.50741199208806,1.2106947468616092,0.8941108902074099,-9.443841788440247,47.49,46.8248,47.86,48.65,47.71,47.78
camden national corp,CAC,2021-01-01,2021-03-31,532120000.0,35.67351799065015,1.3198236275312514,0.8954429497773653,-9.564156581222282,35.8699,35.63,35.78,47.73,47.0,47.63
camden national corp,CAC,2020-10-01,2020-12-31,529314000.0,-23247.134261495892,-802.7581360621898,0.8919490604226185,1.1211402583082328,30.21,29.96,30.225,35.12,35.0,35.51
camden national corp,CAC,2020-07-01,2020-09-30,517522000.0,34.59032922243911,1.1180723278101443,0.8995842479509751,1.111624622460594,33.14,33.14,34.54,29.99,29.46,30.11
camden national corp,CAC,2020-04-01,2020-06-30,506467000.0,33.85508318231244,0.7294858752269658,0.8978694563598908,-9.791390159674767,29.73,29.3901,31.45,32.87,32.65,33.565
camden national corp,CAC,2020-01-01,2020-03-31,492680000.0,32.62095336768902,0.8915343368838449,0.8927683495558532,-9.325604855078346,46.29,45.96,46.06,29.52,29.1638,30.0
camden national corp,CAC,2019-10-01,2019-12-31,473415000.0,-6272.391223700249,-201.8919921564471,0.8931227552595417,1.1196669148905514,43.9,43.17,43.32,46.25,45.92,46.25
camden national corp,CAC,2019-07-01,2019-09-30,471672000.0,30.749666880564583,0.9423634109265783,0.8956550594372295,1.116501257334865,45.22,44.56,45.87,44.0,43.53,43.64